	name	latitude	longitude	scores	category	price	address
2	萨莎(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.20855	121.44971	40.0	酒吧	149.0	徐汇区东平路11号
12	宝莱纳餐厅(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.22067	121.47457	40.0	酒吧	165.0	卢湾区太仓路181弄新天地北里19-20号
78	九重天酒廊(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.235037	121.50584	35.0	酒吧	164.0	浦东新区世纪大道88号金茂君悦大酒店87楼
81	凯博西餐酒吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.221075	121.47513	40.0	酒吧	123.0	卢湾区太仓路181弄新天地北里5号楼
113	马龙美式餐厅(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.226326	121.449814	30.0	酒吧	88.0	静安区铜仁路255号
221	硬石酒吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.301588	121.50958	30.0	酒吧	41.0	杨浦区政通路315号
262	璐娜西餐厅酒吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.22093	121.47474	30.0	酒吧	117.0	卢湾区新天地北里太仓路181弄16号1单元
316	外滩啤酒总汇(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.236628	121.48908	35.0	酒吧	170.0	黄浦区汉口路11号
432	夜来香(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.219954	121.45978	35.0	酒吧	87.0	卢湾区茂名南路58号花园饭店3楼
435	Old Times(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.205292	121.44717	30.0	酒吧	59.0	徐汇区衡山路85号
455	DR(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.220034	121.47497	40.0	酒吧	121.0	卢湾区太仓路181弄新天地北里15号楼
464	棉花俱乐部(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.210615	121.44785	30.0	酒吧	133.0	徐汇区淮海中路1428号
517	贝尼(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.203417	121.44595	30.0	酒吧	71.0	徐汇区永嘉路705号
