	name	latitude	longitude	scores	category	price	address	product	decoration	service
2	萨莎	31.20855	121.44971	40.0	酒吧	149.0	徐汇区东平路11号	7.3	8.4	7.4
12	宝莱纳餐厅	31.22067	121.47457	40.0	酒吧	165.0	卢湾区太仓路181弄新天地北里19-20号	7.7	8.1	7.3
78	九重天酒廊	31.235037	121.50584	35.0	酒吧	164.0	浦东新区世纪大道88号金茂君悦大酒店87楼	7.0	8.5	7.8
81	凯博西餐酒吧	31.221075	121.47513	40.0	酒吧	123.0	卢湾区太仓路181弄新天地北里5号楼	8.1	8.3	8.3
113	马龙美式餐厅	31.226326	121.449814	30.0	酒吧	88.0	静安区铜仁路255号	6.8	7.3	6.7
221	硬石酒吧	31.301588	121.50958	30.0	酒吧	41.0	杨浦区政通路315号	6.1	6.3	6.5
262	璐娜西餐厅酒吧	31.22093	121.47474	30.0	酒吧	117.0	卢湾区新天地北里太仓路181弄16号1单元	6.8	7.5	6.8
316	外滩啤酒总汇	31.236628	121.48908	35.0	酒吧	170.0	黄浦区汉口路11号	6.8	7.4	7.0
432	夜来香	31.219954	121.45978	35.0	酒吧	87.0	卢湾区茂名南路58号花园饭店3楼	6.7	7.9	7.5
435	Old Times	31.205292	121.44717	30.0	酒吧	59.0	徐汇区衡山路85号	5.8	6.5	6.3
455	DR	31.220034	121.47497	40.0	酒吧	121.0	卢湾区太仓路181弄新天地北里15号楼	7.8	8.4	7.7
464	棉花俱乐部	31.210615	121.44785	30.0	酒吧	133.0	徐汇区淮海中路1428号	6.8	7.3	6.7
517	贝尼	31.203417	121.44595	30.0	酒吧	71.0	徐汇区永嘉路705号	6.4	6.6	6.6
595	C's 酒吧	31.20683	121.42371	30.0	酒吧	44.0	长宁区定西路685号B1楼	6.1	6.3	6.2
598	Windows TOO	31.223673	121.44631	30.0	酒吧	50.0	静安区南京西路1618号久光百货2楼	6.3	6.5	6.3
603	CJW爵士酒吧	31.219736	121.475105	35.0	酒吧	159.0	卢湾区兴业路123弄新天地南里2号4单元	6.9	7.9	7.2
653	摩砚	31.205578	121.44674	30.0	酒吧	99.0	徐汇区衡山路10号	6.5	7.7	6.9
744	吟之屋酒吧	31.216873	121.4253	20.0	酒吧	55.0	长宁区宣化路233号	5.7	6.1	6.2
778	老第坊	31.220295	121.47466	30.0	酒吧	87.0	卢湾区太仓路181号新天地北里内	6.5	6.8	6.6
784	3D Art Bar	31.191385	121.387665	30.0	酒吧	69.0	闵行区虹梅路3338弄2号虹梅休闲街11号	6.4	6.8	6.5
801	威斯汀丽心吧	31.23244	121.48684	40.0	酒吧	101.0	黄浦区河南中路88号上海威斯汀大饭店2楼	7.7	8.1	8.0
811	库雪茄吧	31.202951	121.40585	30.0	酒吧	89.0	长宁区延安西路2099号扬子江万丽酒店1楼	6.5	7.1	7.0
855	JW's酒廊	31.230774	121.46938	35.0	酒吧	99.0	静安区南京西路399号JW万豪酒店40楼	7.0	8.4	7.7
867	Zapata's Mexican Cantina	31.208305	121.44954	30.0	酒吧	119.0	徐汇区衡山路5号	6.7	7.6	6.7
877	Piano Bar	31.234873	121.50559	40.0	酒吧	151.0	浦东新区世纪大道88号金茂君悦大酒店53楼	7.4	8.8	8.2
1037	blue frog蓝蛙	31.240057	121.58287	40.0	酒吧	120.0	浦东新区碧云路633号体育休闲中心1楼R3号	7.9	8.5	8.3
1217	Harley's Bar	31.189314	121.43837	30.0	酒吧	39.0	徐汇区南丹东路265号地下室	6.2	6.7	6.5
1233	Bar Rouge	31.238428	121.48969	40.0	酒吧	233.0	黄浦区中山东一路18号外滩十八号7楼	7.4	8.8	7.5
1323	Big Bamboo	31.228033	121.451485	35.0	酒吧	93.0	静安区南阳路132号波特曼后门	7.4	8.1	7.3
1369	Judy's	31.2248	121.450584	30.0	酒吧	53.0	静安区铜仁路142-146号	6.6	6.9	7.0
1411	巴赫酒廊	31.201715	121.443665	30.0	酒吧	67.0	徐汇区衡山路516号富豪环球东亚酒店1楼	6.7	6.9	7.0
1449	顿迪酒吧	31.203367	121.44581	30.0	酒吧	104.0	徐汇区衡山路281号	6.0	6.5	6.8
1464	爵士酒吧	31.210732	121.44489	35.0	酒吧	130.0	徐汇区复兴西路46号	7.4	8.0	7.5
1480	芭芭露莎	31.23133	121.471054	40.0	酒吧	115.0	黄浦区南京西路231号人民公园内人工湖	7.3	8.7	7.7
1605	游廊酒吧	31.223696	121.52832	30.0	酒吧	85.0	浦东新区东方路889号红塔豪华精选酒店1楼	6.1	6.3	6.5
1622	米罗酒吧	31.202337	121.43404	30.0	酒吧	58.0	长宁区法华镇路17号	6.5	6.7	6.9
1626	哇吧	31.179144	121.387535	35.0	酒吧	60.0	闵行区吴中路1050号盛世莲花广场A栋	7.4	7.8	7.7
1943	哈鲁	31.204721	121.44685	20.0	酒吧	68.0	徐汇区衡山路237号	5.7	6.1	6.2
2003	Eagle’s	31.226883	121.55925	30.0	酒吧	58.0	浦东新区芳甸路199弄证大大拇指广场内	6.6	6.9	6.8
2057	丽嘉酒吧	31.226927	121.45198	40.0	酒吧	141.0	静安区南京西路1357号波特曼大酒店2楼	7.6	8.3	8.1
2110	288现场音乐吧	31.207516	121.46786	35.0	酒吧	125.0	卢湾区泰康路288号2楼	6.8	7.6	7.4
2138	船长酒吧	31.23539	121.489655	40.0	酒吧	83.0	黄浦区福州路37号船长酒店6搂	7.2	8.7	7.8
