Artist,Primary Work,Sleep,Social and Meals,Exercise,Other works,Making ends meet,Total,Occupation
Gustave Flaubert,5.5,7,4.5,1,5,1,24,Writer
Ludwig  Von Beethoven,8,8,6,2,0,0,24,Composer
Wolfgang Amadeus Mozart,4,5,7,0,4,4,24,Composer
Thomas Mann,3,9,6.5,0.5,5,0,24,Writer
Sigmund Freud,12.5,6,4.5,1,0,0,24,Researcher
Emmanuel Kant,4,7,5,1,3,4,24,Researcher
Maya Angelou,7,7.5,7.5,0,2,0,24,Writer
John Milton,3,7,5,4,5,0,24,Writer
Honoré de Balzac,13.5,8.5,1.5,0.5,0,0,24,Writer
Victor Hugo,2,8,12,2,0,0,24,Writer
Charles Dickens,5,7,9,3,0,0,24,Writer
W.H. Audens,11.5,7,5.5,0,0,0,24,Researcher
Charles Darwin,5,8,4.5,1.5,5,0,24,Researcher
Piotr Ilyich Tchaikovski,4,8,8,2.5,1.5,0,24,Composer
Le Corbusier,8.5,7,8,0.5,0,0,24,Architect
Benjamin Franklin,8,7,9,0,0,0,24,Researcher
