adjectif_pre	total
grand	11801
petit	8769
ancien	4142
vieux	2866
joseph	2703
pasteur	2350
haut	2145
bas	2007
claude	1499
saint	1420
communal	1131
rural	962
départemental	813
gros	711
neuf	709
beau	635
national	621
nord	565
champagne	482
ferme	440
romaine	425
bon	403
bel	399
clément	391
ouest	384
léonard	364
las	359
fontaine	356
long	346
augustin	328
plein	321
ronde	311
fer	280
plan	276
clair	232
benoît	217
nouveau	209
saint-germain	203
droit	202
vert	196
belle	196
blanche	185
germain	181
évêque	177
rouge	175
basse	174
cht	170
franc	167
morne	160
haute	155
forestier	145
marcelin	136
droite	133
sud	126
rousseau	120
aux	119
or	119
saint-martin	119
blanc	119
julien	118
cave	115
verte	114
auguste	114
aurore	109
principal	107
gd	99
aiguillon	98
court	94
traversier	92
marin	87
renard	86
froid	85
chien	84
parmentier	83
valentin	79
herbe	74
r	73
rond	73
orange	72
argent	71
barbe	71
cardinal	66
premier	64
mariotte	64
creux	62
nicéphore	62
four	62
maison	61
plat	61
rose	60
valenciennes	60
7e	59
colombier	58
marine	58
éolienne	58
gay	57
1èr	55
chevalier	55
chaux	54
1er	54
plate	54
faux	54
paille	51
royal	49
argentier	49
sable	49
vache	49
artisanal	48
amiral	47
noir	45
latéral	45
activit	44
rousse	44
armée	43
brion	42
plain	42
vierge	41
billard	41
ardoise	40
basset	40
marteau	39
général	39
sommière	39
joli	39
jade	38
argile	37
commercial	37
gai	36
veuf	36
mauvais	36
couturier	36
azur	36
lucien	35
charpentier	35
épervier	35
albin	35
charbonnière	34
enfant	33
jeune	33
villard	33
dumont	33
émeraude	32
pie	32
manuel	31
chaude	31
3	31
camp	30
chétif	29
mal	29
joséphine	29
avenu	29
tallevend	28
clos	27
violette	27
micheline	27
mort	27
cadet	26
fée	26
corbeau	25
industriel	24
étain	24
péan	24
aigu	23
central	23
vicinal	23
bleu	23
fronton	23
touch	22
mur	22
roux	22
canard	22
cher	22
florentin	22
nuit	21
boucher	21
hans	21
passerell	20
révérend	20
aiglon	20
bernardin	20
sain	20
bise	20
charbonnier	20
moreau	19
champion	19
sec	19
mage	19
levant	19
deuxième	19
forte	19
modeste	18
vc	18
vif	18
pelletier	18
gras	17
barbet	17
porte	17
sauge	17
chevrière	16
charron	16
chl	16
chevrier	16
albe	16
aubert	15
astrée	15
paquet	15
rabat	15
chou	15
proche	15
abricotier	15
empire	15
porcher	15
min	15
plombières	15
martin	15
balai	15
feu	14
lou	14
ami	14
nègre	14
mandrin	14
écrevisse	14
barge	14
rat	14
aigrette	14
aurélien	14
doux	14
pascal	13
francillon	13
fort	13
pion	13
fontain	13
bourbon	13
barbeau	13
large	13
brun	13
beurre	13
arrivée	13
breton	13
clémentine	13
fluvial	13
bassin	12
linière	12
fin	12
épervière	12
suisse	12
aubin	12
portuaire	12
mauve	12
cassis	12
ballot	11
folle	11
chaud	11
sapin	11
cayenne	11
vide	11
mill	11
comble	11
4	11
bidon	11
gardien	11
moyen	11
potier	11
isabelle	11
grave	11
hôte	11
penn	10
philadelphe	10
enchanteur	10
brique	10
placide	10
chatte	10
mousse	10
léger	10
frais	10
menu	10
souris	10
loriot	10
anc	10
soule	10
clairette	10
angélique	10
gris	10
horloger	10
cabri	9
chétive	9
mou	9
mouill	9
corail	9
plane	9
parme	9
gentil	9
capucine	9
courant	9
bus	9
franche	9
dormans	9
touristique	9
vrai	9
tilleul	9
biesse	9
traou	9
traversière	9
étourneau	9
abricot	9
rousset	9
carolin	8
fine	8
troisième	8
bulle	8
pillard	8
un	8
catin	8
saint-romain	8
sportif	8
creac	8
indigo	8
collet	8
tr	8
garance	8
domanial	8
baure	8
cavalier	8
verde	8
annexe	8
bessin	8
roussot	8
carré	7
neuve	7
cochon	7
intérieur	7
couverte	7
tenu	7
hospitalier	7
cap	7
terrasson	7
bigot	7
avenue	7
acajou	7
châtelain	7
maritime	7
acier	7
maigre	7
salin	7
matelot	7
cube	7
baie	7
rubis	7
rt	7
cul	7
maître	7
saturnin	7
beauregard	7
voilier	7
mimosa	7
souleilla	7
cerise	7
territorial	7
morillon	7
opaline	7
marchand	7
bordeaux	7
pailler	7
corentin	7
placi	7
prairie	7
cordouan	7
gauche	7
glaise	7
plant	7
ecl	7
courbe	7
gaillard	7
orgueilleux	7
8	6
villaine	6
rouille	6
fier	6
bœuf	6
benoit	6
chalin	6
sauveur	6
romain	6
cellier	6
thermidor	6
saumon	6
montant	6
gouvion	6
more	6
merlot	6
éclair	6
rivier	6
universitaire	6
pouvoir	6
bourgeois	6
poul	6
crétin	6
porz	6
lucienne	6
portillon	6
douanier	6
vive	6
saint-roman	6
maraîcher	6
prudent	6
vanille	6
dernier	6
supérieur	6
guyon	6
voisine	6
commune	6
transversal	6
mélanie	6
méchant	6
bienvenu	6
wallon	6
claux	6
colombine	6
pantin	6
oratoire	6
riant	6
pauvre	6
moulière	6
ort	6
ocre	6
enclos	6
vain	5
commun	5
intercommunal	5
barcelonnette	5
barbarin	5
malaise	5
ter	5
saline	5
saint-symphorien	5
coursièr	5
viell	5
avant	5
corse	5
guignard	5
albine	5
coquin	5
coquette	5
coquelicot	5
11	5
lente	5
aviateur	5
circulaire	5
fou	5
avranchin	5
longuet	5
sauvage	5
fontanelle	5
gratt	5
albertine	5
conventionnel	5
tir	5
consort	5
tierce	5
résidentiel	5
pastoral	5
bénard	5
milin	5
perle	5
borée	5
roman	5
quart	5
fidèle	5
besse	5
castellan	5
casse-cou	5
palis	5
economiqu	5
canon	5
occitan	5
ramier	5
rent	5
chamois	5
métier	5
brac	5
portal	5
picard	5
bateau	5
brunet	5
marron	5
saint-michel	5
ponceau	5
piétonnier	5
complexe	4
platte	4
raccourci	4
blondin	4
all	4
bédoin	4
guinguette	4
radio	4
raide	4
blanchette	4
bis	4
fraise	4
fauconnière	4
reculée	4
telesieg	4
regional	4
potager	4
quatrième	4
planch	4
public	4
goarem	4
giratoire	4
bénin	4
printemps	4
frette	4
prime	4
ébène	4
âtre	4
économique	4
bonne	4
cadette	4
gazon	4
chaussé	4
quarant	4
frank	4
quarte	4
para	4
grésillon	4
chauve	4
technologique	4
assane	4
poilu	4
monde	4
cluse	4
molle	4
bernard	4
aigre	4
rompu	4
sot	4
chioso	4
serin	4
militaire	4
chambon	4
meunier	4
melon	4
souverain	4
fleurie	4
agricole	4
mat	4
sarcelle	4
villier	4
amadou	4
sabin	4
sale	4
chasseur	4
sabine	4
sablière	4
sage	4
rom	4
pointu	4
autre	4
stratégique	4
sylvestre	4
carrèr	4
clau	4
vil	4
municipal	4
jean	4
jubilé	4
aumônier	4
céleste	4
jaune	4
technique	4
athée	4
citrine	4
vigneron	4
kreiz	4
cinquième	4
riche	4
doyen	3
fromental	3
florentine	3
vincent	3
vermillon	3
fauconnier	3
voisin	3
etng	3
versenn	3
fouilli	3
volontaire	3
vial	3
veule	3
forain	3
electriqu	3
fretin	3
el	3
forgeron	3
sauf	3
frère	3
repenti	3
rapide	3
noire	3
noble	3
métropolitain	3
mure	3
moussu	3
rieux	3
gal	3
robertin	3
rosse	3
menue	3
mazarin	3
mayn	3
maure	3
oisillon	3
quinz	3
quinte	3
oyat	3
pacifique	3
quint	3
paillère	3
partie	3
pêcheur	3
pavé	3
pt	3
profond	3
privé	3
primaire	3
piéton	3
poivre	3
poche	3
maternel	3
rude	3
marn	3
issue	3
galba	3
gallois	3
vague	3
gaucher	3
gemme	3
gran	3
granger	3
tortue	3
thermal	3
tertiaire	3
terrier	3
terne	3
ilet	3
templier	3
taillis	3
saint-géry	3
tachen	3
suédois	3
sud-est	3
jumeau	3
soyer	3
lavande	3
laze	3
libre	3
lisse	3
lormier	3
sarrazin	3
sang	3
mailly	3
mancelle	3
pendant	3
10	3
chauvin	3
avocat	3
coll	3
crémier	3
créole	3
bross	3
cocu	3
brul	3
cloche	3
alizé	3
bicentenaire	3
aimé	3
baba	3
bachelier	3
brève	3
besson	3
adelphe	3
absinthe	3
buissonnet	3
blonde	3
bocneuf	3
chrysostome	3
amarante	3
caraïbe	3
cornier	3
cordonnier	3
bouquin	3
coulis	3
bouzard	3
caramel	3
arlésien	3
courtaud	3
courte	3
capucin	3
atlantique	3
con	3
comblat	3
autodrome	3
cri	3
croche	3
chapelaine	3
camée	3
demoiselle	3
14	3
chenevier	3
chic	3
romarin	2
audacieux	2
rétif	2
borgnesse	2
beaun	2
aunay	2
bossu	2
atlantic	2
aubine	2
cartron	2
séraphine	2
régional	2
prévoyant	2
mutin	2
beaujolais	2
straet	2
herrisson	2
hexagone	2
morelle	2
moqu	2
chateauneuf	2
héliotrope	2
hypogée	2
huîtrière	2
léonin	2
battre	2
autorout	2
bolin	2
huitième	2
spécial	2
mariolle	2
marinoise	2
colombière	2
hippolyt	2
hippique	2
roussin	2
médical	2
tel	2
bastid	2
praline	2
appert	2
aphrodite	2
prad	2
ruin	2
torte	2
tortu	2
toscan	2
toto	2
nautique	2
gibelin	2
germinal	2
chazot	2
marchai	2
gent	2
goujat	2
gourde	2
n571	2
routier	2
beal	2
méditerranée	2
carotte	2
grec	2
grd	2
mélèze	2
grasset	2
manant	2
grappe	2
ardéchois	2
mallemontad	2
grande	2
man	2
ardissart	2
souleya	2
impérial	2
maya	2
littoral	2
laie	2
saint-etienn	2
riau	2
saut	2
labouygu	2
massif	2
savonnière	2
labastid	2
rhon	2
miel	2
miellé	2
lorrain	2
kerimaux	2
renver	2
bienheureux	2
chant	2
riot	2
colleg	2
baillet	2
chouette	2
chapelier	2
salant	2
lette	2
libéral	2
rogatien	2
lind	2
châtelaine	2
linot	2
lateral	2
chérubin	2
sar	2
saint-georg	2
riv	2
menuet	2
senart	2
karen	2
kaki	2
jumelle	2
jacobin	2
monial	2
louvet	2
marqu	2
sorcy	2
beg	2
interne	2
ramière	2
monteux	2
marmotte	2
sacré	2
inspecteur	2
inférieur	2
informatique	2
roulier	2
blanchet	2
jaine	2
cent	2
ratier	2
mimi	2
seul	2
sien	2
ministre	2
minière	2
lourd	2
jojo	2
jardinier	2
rasoir	2
sixième	2
soixant	2
clinique	2
lourde	2
nenez	2
neauphl	2
ondée	2
artiste	2
philippin	2
octavien	2
alter	2
aise	2
cremaill	2
alpha	2
allègre	2
capot	2
camy	2
tournant	2
fournet	2
planel	2
patient	2
eden	2
fraisier	2
demi	2
ursin	2
yrieix	2
za	2
piqu	2
alezan	2
floral	2
pomme	2
novice	2
piétonne	2
paul	2
ambre	2
cret	2
notre-dam	2
vers	2
ordinaire	2
canari	2
plessier	2
fol	2
brossard	2
plasenn	2
plombière	2
amande	2
calin	2
cantonnier	2
onglée	2
fondu	2
brienne	2
croz	2
alto	2
plt	2
fontan	2
ouvrier	2
olympique	2
brg	2
picasso	2
emm	2
cron	2
vernh	2
valoir	2
nouvel	2
alexandrin	2
noirterr	2
adroit	2
dive	2
gaillot	2
perse	2
neuvill	2
2e	2
vienn	2
albertin	2
perroquet	2
digne	2
pompier	2
émilien	2
tranch	2
émissaire	2
